location,tag_name,flwr_number,photo_ID,area,perimeter,circularity,feret,feret_X,feret_Y,feret_angle,min_feret,aspect_ratio,roundness,solidity,OL_width_left,OL_width_right,IL_width,trough_length_left,angle_left,trough_length_right,angle_right,limitations,exclude,notes,measurements_done?
T01-A01,STM_17,3,DSC_0035,1.18,7.9,0.238,1.918,4119,3273,87.718,1.545,1.102,0.907,0.603,0.261,0.274,0.608,1.051,33.008,0.99,-30.343,0,0,, DSC_0008 
T01-A03,TIC_09,3,DSC_0035,0.4,4.524,0.246,1.394,4030,1601,112.861,0.719,2.065,0.484,0.649,0.142,0.094,0.222,0.492,52.645,0.344,-15.627,1,0,, DSC_0010
T01-A05,SUC_01,3,DSC_0033,1.361,10.436,0.157,2.503,4234,2496,86.82,1.857,1.601,0.625,0.456,0.163,0.196,0.535,1.012,23.663,1.144,-29.055,0,0,, DSC_0012
T01-A07,CRE_04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,, DSC_0013
T01-A09,OGP_04,3,DSC_0158,1.539,10.27,0.183,2.265,3419,2886,5.934,1.771,1.166,0.858,0.543,0.345,0.4123,0.717,1.306,33.315,1.184,-24.168,2,0,only bottom of stem not highlighted, DSC_0014
T01-A11,CRE_13,3,DSC_0171,0.897,7.006,0.23,2.2,2291.5,1638,75.08,1.411,1.524,0.656,0.489,0.16,0.155,0.447,0.855,17.99,0.908,-39.297,0,0,feret angle is low (75), DSC_0015
T01-A13,TIC_18,3,DSC_0033,2.069,11.783,0.187,3.06,1911.667,2254.833,104.722,2.127,1.235,0.81,0.515,0.335,0.342,0.749,1.267,39.644,1.25,-3.835,0,0,, DSC_0016
T01-B02,SUC_02,3,DSC_0154,1.496,9.948,0.19,2.298,2388,1616,75.927,1.807,1.166,0.858,0.564,0.329,0.378,0.561,1.257,18.202,0.92,-31.591,0,0,, DSC_0020
T01-B04,HES_01,3,DSC_0149,0.894,8.254,0.165,2.109,4253,1458,86.924,1.388,1.443,0.693,0.49,0.202,0.23,0.53,0.921,32.171,0.858,-24.687,0,0,, DSC_0021
T01-B06,BRD_10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,, DSC_0022
T01-B08,CRE_15,2,DSC_0181,0.502,5.384,0.217,1.805,1956.5,1758.75,83.977,0.897,2.331,0.429,0.506,0.2,0.202,0.241,0.675,53.014,0.782,-45.354,0,0,did not produce third flower , DSC_0023
T01-B10,PMS_18,3,DSC_0031,0.742,6.627,0.212,1.788,2482,2596,86.201,1.24,1.575,0.635,0.542,0.208,0.179,0.365,0.861,29.956,0.761,-40.298,0,0,, DSC_0024
T01-B12,CRE_18,3,DSC_0155,1.263,9.068,0.193,1.978,2265,3015,73.301,1.675,1.108,0.903,0.557,0.354,0.334,0.493,1.057,10.66,0.951,-43.958,0,0,, DSC_0025
T01-B14,PMS_19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,too many abnormalities, DSC_0026
T01-C01,MEB_11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,, DSC_0027
T01-C03,KAB_17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,, DSC_0028
