species,site,abbr_site,year,date,lat,long,num_mfs,elev_m,notes,location_description,habitat_description,population_description,phenology,ownership,seed_collection_notes
Clarkia arcuata,Peavine Ridge 1,PR1,2022,7/18/2022,38.797754,-120.433892,40,1581,,,,,,,
Clarkia arcuata,Peavine Ridge 2,PR2,2022,7/18/2022,38.803061,-120.444799,19,1574,,,,,,,
Clarkia purpurea ssp. quadrivulnera,Robie Point,ROP,2022,7/18/2022,38.892554,-121.050191,40,334,,,,,,,
Clarkia purpurea ssp. purpurea,Ridge Road,RIR,2022,7/18/2022,39.228381,-121.079383,40,804,"secondary coordinates 39.228502, -121.080509",,,,,,
Clarkia pulchella,Brilliant Dam,BRD,2022,7/26/2022,49.3268,-117.611818,32,606,ready,,,,,,
Clarkia pulchella,Gladstone Provincial Park North,GPN,2022,7/26/2022,49.136969,-118.246906,32,671,"secondary coordinates 49.136800, -118.247223",,,,,,
Clarkia pulchella,Gladstone Provincial Park South,GPS,2022,7/26/2022,49.129279,-118.243405,32,536,,,,,,,
Clarkia pulchella,Leslie Gulch,LEG,,,43.29848,-117.27058,,1043,,,,,,,
Clarkia pulchella,Creston,CRE,2022,7/26/2022,49.128793,-116.635332,32,574,"secondary coordinates 49.129125, -116.635000",,,,,,
Clarkia pulchella,Okanagan Grasslands Provincial Park,OGP,2022,7/25/2022,49.04775,-119.558096,32,857,a bit early for collection,,,,,,
Clarkia rhomboidea,Bogus Basin Upper,BBU,2022,7/28/2022,43.73359,-116.128678,?,1704,,,,,,,
Clarkia rhomboidea,Billy Fields Forest Camp,BFF,2022,7/29/2022,44.343006,-119.302186,44,1312,"big pop, easy collection; open slope above road; ripe fruits; secondary coordinates 44.342674, -119.301406",,,,,,
Clarkia pulchella,Johnstone Creek Provincial Park,JCP,2022,7/26/2022,49.044619,-119.048655,32,865,early; lookout trail,,,,,,
Clarkia pulchella,Highway 26,H26,,,44.38361,-120.52029,,1134,,,,,,,
Clarkia pulchella,McKay Creek,MCC,,,44.46775,-120.71079,,1128,,,,,,,
Clarkia pulchella,Lightning Creek,LIC,2022,7/26/2022,48.191144,-116.15621,32,804,"secondary coordinates 48.190810, -116.155701",,,,,,
Clarkia pulchella,Heyburn State Park,HES,2022,7/27/2022,47.342545,-116.787758,32,816,,,,,,,
Clarkia pulchella,AX_Pendleton,AXP,2014,6/8/2014,45.73695,-118.25481,,649,,"Road to Umatila Forks CG; E of Pendlton, OR; maybe adjacent to PL.",Roadside at base of rockface; opposite river; loose tan rocky soil.,35 flowering plants below rock ledge; many more individuals above rock ledge; extends 32 m along road by unmeasured distance up cliff face. More plants along road less than 2 km W.,"A few with first fruits, some first flowers, some vegetative.",Private Land,
Clarkia pulchella,Kamiak Butte,KAB,2022,7/27/2022,46.866808,-117.154731,32,1002,,,,,,,
Clarkia pulchella,Tiger Creek,TIC,2022,7/29/2022,45.977422,-118.033018,32,1118,"roadside collection, hill too steep",,,,,,
Clarkia pulchella,AS_Tucannon,AST,2014,6/6/2014,46.2353,-117.74215,,1022,,"Just further down the road from WP001, could be considered same population. Umatilla NF, SE of Dayton, WA. FR4620, between Kendall Skyline Road and Tucannon River. Steep windey descent, before junction with FR80.","Dry, reddish, clay-like soil. Loose and rocky. Adjacent to road, otherwise low disturbance. Nearby pines and doug-firs, bunch grasses.","389 found in 39.3*44.1 m area, could be more beyond search area.",First flowers.,Umatilla NF,
Clarkia pulchella,Cape Horn Ridge,CHR,,,46.24479,-117.48715,,1445,,,,,,,
Clarkia pulchella,AR_Abel's Ridge,ARA,2014,6/7/2014,46.28359,-117.59603,,1457,,Abel's Ridge off of FR 4018; N of Mountain Rd.; W side of road; btwn road and group of five pines downslope.,"Coppery colored soil; sparsely vegetated with bunchgrasses, lupine, other small plants; loose, rocky/sandy soil; low disturbance except erosion. Good transplant site.","246 flowering and vegetative plants found in search area. Likely many more vegetative plants that could not be identified for certain. Also, more individuals outside of search area. Population more spread out than those at WP 001 ,002, 003.",First flowers and vegetative.,Umatilla NF,
Clarkia pulchella,BG_Bitterroot,BGB,2014,6/30/2014,46.5377,-113.88501,,1424,,Roadside pop near conservation easement in Bitterroot NF. May be on PL within forest.,Mixed pine/doug-fir forest.,"Small population, about 50 plants in a 3m by 3 m area. Much larger population about 20 m down road.","First flowers, some NF yet.",Bitteroot NF,
