location,tag_name,bud_emerg_date,num_buds_at_emerge,flwr_date,ttl_stem_lngth_flwr,buds_at_first_flwr,pollen_color_subj,anther_color_subj,overall_petal_color_subj,petal_pat_color,scnd_flwr_date,third_flwr_date,fourth_flwr_date,exclude,exclude2 ,notes,key,notes2
T01-A01,STM_17,11/20/23,2,12/8/23,20.2,3,lavender,lavender,pink,0,12/9/23,12/13/23,NA,0,,,,not legible; need to see paper copy 
T01-A03,TIC_09,11/20/23,3,12/3/23,18.7,3,cream,cream,pink,1,12/10/23,12/13/23,NA,0,,,0,no issues 
T01-A05,SUC_01,11/20/23,3,12/4/23,19.2,4,cream,cream,lavender,1,12/8/23,12/10/23,NA,0,,,1,did not flower in the experimental window 
T01-A07,CRE_04,11/27/23,1,12/13/23,18.2,3,cream,cream,lavender,1,12/18/23,NA,NA,0,,"third flower did not open, color data collected on 2nd ",2,too abnormal 
T01-A09,OGP_04,12/11/23,3,12/26/23,17.2,5,cream,cream,purple,1,12/29/23,1/2/24,NA,0,,,3,
T01-A11,CRE_13,12/11/23,1,12/31/23,15.2,3,cream,cream,purple,1,1/7/24,1/10/24,NA,0,,,,
T01-A13,TIC_18,11/20/23,2,12/5/23,18.2,4,cream,lavender,lavender,1,12/8/23,12/11/23,NA,0,,,,
T01-B02,SUC_02,12/6/23,2,12/18/23,12.7,3,cream,cream,lavender,1,12/26/23,12/29/23,NA,0,,,,
T01-B04,HES_01,11/27/23,1,12/16/23,10.6,3,lavender,lavender,pink,1,12/20/23,12/26/23,NA,0,,,,
T01-B06,BRD_10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,did not flower within the experimental window ,,
T01-B08,CRE_15,12/18/23,3,1/16/24,11.6,0,NA,NA,NA,NA,1/16/24,NA,NA,0,,did not produce third flower ,,
T01-B10,PMS_18,11/13/23,2,12/3/23,5.3,5,cream,cream,lavender,1,12/5/23,12/9/23,NA,0,,,,
T01-B12,CRE_18,12/4/23,1,12/22/23,18.1,5,cream,cream,purple,0,12/26/23,12/28/23,NA,0,,,,
T01-B14,PMS_19,11/20/23,3,12/6/23,7.4,4,cream,cream,lavender,1,12/8/23,12/9/23,NA,0,,,,
T01-C01,MEB_11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,"dead January 08, aphid damage",,
T01-C03,KAB_17,2/10/24,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,,,
T01-C05,HES_08,12/11/23,1,12/30/23,13.2,3,cream,cream,purple,1,1/8/24,1/13/24,NA,0,,,,
T01-C07,KAB_11,11/27/23,1,12/14/23,9.2,0,cream,cream,lavender,0,1/17/24,1/24/24,NA,0,,,,
T01-C09,HES_18,12/11/23,2,12/29/23,13,0,NA,NA,NA,NA,12/29/23,NA,NA,0,,,,
T01-C11,KAB_19,11/27/23,2,12/9/23,10.1,4,pink,purple,lavender,0,12/13/23,12/16/23,NA,0,,,,
T01-C13,TIC_05,11/20/23,3,12/8/23,23.2,3,pink,pink,pink,1,12/10/23,12/13/23,NA,0,,,,
T01-D02,STM_01,11/14/23,2,12/21/23,18.8,1,lavender,NA,pink,1,12/26/23,2/9/24,NA,0,0,anther color not captured; too late to see,,
T01-D04,LRR_18,11/13/23,3,11/25/23,11.3,5,cream,cream,lavender,1,11/30/23,12/13/23,NA,0,,,,
T01-D06,LRR_17,11/13/23,2,12/1/23,5.5,3,cream ,cream,lavender,1,12/5/23,12/12/23,NA,0,,,,
T01-D08,BFF_05,11/27/23,3,12/5/23,5.9,3,purple,pink,pink,1,12/11/23,12/15/23,NA,0,,,,
T01-D10,CRE_11,12/11/23,2,12/26/23,27.6,3,cream,cream,purple,1,12/30/23,1/2/24,NA,0,,,,
T01-D12,MEB_14,11/27/23,5,12/4/23,19,5,pink,pink,pink,1,12/6/23,12/9/23,NA,0,,,,
T01-D14,BRD_18,12/11/23,2,12/26/23,24.9,4,cream,pink ,pink,1,12/28/23,1/4/24,NA,0,,,,
T01-E01,PMS_14,11/20/23,1,12/10/23,5.1,7,cream,cream,lavender,1,12/12/23,12/15/23,NA,0,,,,
T01-E03,PMS_06,11/20/23,1,12/5/23,3.3,3,cream,cream,lavender,0,12/9/23,12/12/23,NA,0,,,,
T01-E05,FUR_12,11/20/23,4,12/3/23,16.6,4,purple ,lavender ,pink ,0,12/6/23,12/8/23,NA,0,,,,
T01-E07,BFF_14,11/20/23,2,12/8/23,6.3,1,pink ,pink,purple,1,12/11/23,NA,1/16/23,0,,third flower date was missed ,,
T01-E09,JCP_06,11/20/23,1,12/6/23,17.2,2,cream,cream,purple,1,12/11/23,12/14/23,NA,0,,,,
T01-E11,TIC_20,11/20/23,2,12/6/23,20.1,3,cream,cream,purple,0,12/9/23,12/12/23,NA,0,,,,
T01-E13,BFF_13,11/13/23,2,11/28/23,9.4,4,cream,lavender ,purple,1,12/2/23,12/6/23,NA,0,,,,
T01-F02,BRD_03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,never flowered ,,
T01-F04,FUR_19,12/11/23,2,12/26/23,15.9,1,NA,NA,NA,NA,1/2/24,NA,NA,0,,removed from experiment Jan 20. no new growth,,
T01-F06,JCP_20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,,,
T01-F08,OGP_20,1/15/24,2,2/5/24,12.2,0,pink,purple,lavender ,0,NA,NA,NA,0,,did not produce 2nd or 3rd flowers ,,
T01-F10,PMS_08,11/13/23,2,11/20/23,8.4,4,cream,cream,lavender ,0,11/25/23,11/28/23,NA,0,,,,
T01-F12,HES_11,11/27/23,3,12/9/23,16,6,pink,pink,pink,1,12/13/23,12/15/23,NA,0,,,,
T01-F14,OGP_08,1/2/24,2,1/23/24,14.4,1,cream,cream,pink,NA,1/23/24,NA,NA,0,,,,
T01-G01,SUC_11,11/27/23,2,12/12/23,9.3,2,cream,cream ,purple,1,12/16/23,12/20/23,NA,0,,,,
T01-G03,LIC_14,12/18/23,1,1/11/24,11,2,cream,cream,lavender ,0,1/18/24,1/25/24,NA,0,,,,
T01-G05,CRE_10,,,,,,,,,,,,,1,,never germinated,,
T01-G07,PMS_13,11/13/23,1,12/2/23,6.2,4,cream,cream,lavender,1,12/6/23,12/8/23,NA,0,,,,
T01-G09,STM_06,11/27/23,3,12/12/23,17.5,2,cream,cream,pink,1,12/17/23,12/21/23,NA,0,,,,
T01-G11,SUC_13,11/20/23,2,12/8/23,8.6,3,cream ,cream,pink,1,12/10/23,12/14/23,NA,0,,,,
T01-G13,BRD_05,12/4/23,2,12/19/23,19.5,5,lavender ,lavender,pink,1,12/23/23,12/16/23,NA,0,,"cannot see date on scan, need paper",,
T02-A01,FUR_06,12/11/23,2,1/7/24,14.5,2,NA,NA,NA,NA,1/9/24,NA,NA,0,,,,
T02-A03,OGP_15,11/20/23,1,12/6/23,7.1,3,cream,cream,pink,1,12/11/23,12/13/23,NA,0,,,,
T02-A05,BRD_11,12/11/23,1,12/28/23,19,2,cream,cream,purple,1,1/2/24,NA,NA,0,,3rd may not open so did measurements on 2nd flower,,
T02-A07,HES_02,12/4/23,1,12/21/23,12.1,2,purple,purple,purple,1,12/27/23,1/2/24,NA,0,,,,
T02-A09,HES_04,11/27/23,1,12/15/23,10.1,1,cream,NA,lavender,0,12/23/23,NA,NA,0,,"anther was caught too late - color could not be recorded; 3rd may not open, did measurements on the 2nd",,
T02-A11,JCP_02,1/2/24,1,1/19/24,7.9,0,NA,NA,NA,NA,NA,NA,NA,0,,"dead Jan 14, no new growth, aphid damage",,
T02-A13,BBU_02,11/27/23,1,12/17/23,6.7,3,NA,NA,NA,NA,12/26/23,NA,NA,0,,removed from exp. Jan 21,,
T02-B02,STM_15,11/20/23,2,12/8/23,12.3,3,cream,cream,pink,1,12/12/23,12/15/23,NA,0,,,,
