location,pop_fam,num_buds_at_emerge,ttl_stem_lngth_flwr,buds_at_first_flwr,pollen_color_subj,anther_color_subj,overall_petal_color_subj,petal_pat_color,bud_doy,flwr_doy,scnd_flwr_doy,third_flwr_doy,pop_name,time_fst_flwr,time_fst_scnd_flwr,CMD_gs,CMD_sp,CMD_sm,Tave_gs,Tave_sp,Tave_sm,latitude,elevation,longitude,range_position,bFFP,flwr_number,area,perimeter,circularity,feret,feret_angle,min_feret,aspect_ratio,roundness,solidity,OL_width_left,OL_width_right,IL_width,trough_length_left,trough_length_right
T01-A01,STM_17,2,20.2,3,lavender,lavender,pink,0,324,342,343,347,STM,18,1,368.5952380952381,106.23809523809524,262.35714285714283,11.062857142857142,6.655555555555556,17.673809523809524,42.693604,1635,-118.938725,Southern,146,3,1.18,7.9,0.238,1.918,87.718,1.545,1.102,0.907,0.603,0.261,0.274,0.608,1.051,0.99
T01-A03,TIC_09,3,18.7,3,cream,cream,pink,1,324,337,344,347,TIC,13,7,204.5952380952381,20.095238095238095,184.5,10.136190476190476,6.336507936507936,15.835714285714285,45.977422,1118,-118.033018,Central,135,3,0.4,4.524,0.246,1.394,112.861,0.719,2.065,0.484,0.649,0.142,0.094,0.222,0.492,0.344
T01-A05,SUC_01,3,19.2,4,cream,cream,lavender,1,324,338,342,344,SUC,14,4,379.23809523809524,106.64285714285714,272.5952380952381,11.518571428571429,6.885714285714286,18.46785714285714,43.223458,1498,-117.151153,Southern,146,3,1.361,10.436,0.157,2.503,86.82,1.857,1.601,0.625,0.456,0.163,0.196,0.535,1.012,1.144
T01-A07,CRE_04,1,18.2,3,cream,cream,lavender,1,331,347,352,NA,CRE,16,5,267.9047619047619,89.02380952380952,178.88095238095238,11.997619047619049,8.247619047619049,17.622619047619047,49.128793,574,-116.635332,Northern,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T01-A09,OGP_04,3,17.2,5,cream,cream,purple,1,345,360,363,367,OGP,15,3,284.61904761904765,107.07142857142857,177.54761904761904,10.905714285714286,6.918253968253968,16.886904761904763,49.04775,857,-119.558096,Northern,121,3,1.539,10.27,0.183,2.265,5.934,1.771,1.166,0.858,0.543,0.345,0.4123,0.717,1.306,1.184
T01-A11,CRE_13,1,15.2,3,cream,cream,purple,1,345,365,372,375,CRE,20,7,267.9047619047619,89.02380952380952,178.88095238095238,11.997619047619049,8.247619047619049,17.622619047619047,49.128793,574,-116.635332,Northern,110,3,0.897,7.006,0.23,2.2,75.08,1.411,1.524,0.656,0.489,0.16,0.155,0.447,0.855,0.908
T01-A13,TIC_18,2,18.2,4,cream,lavender,lavender,1,324,339,342,345,TIC,15,3,204.5952380952381,20.095238095238095,184.5,10.136190476190476,6.336507936507936,15.835714285714285,45.977422,1118,-118.033018,Central,135,3,2.069,11.783,0.187,3.06,104.722,2.127,1.235,0.81,0.515,0.335,0.342,0.749,1.267,1.25
T01-B02,SUC_02,2,12.7,3,cream,cream,lavender,1,340,352,360,363,SUC,12,8,379.23809523809524,106.64285714285714,272.5952380952381,11.518571428571429,6.885714285714286,18.46785714285714,43.223458,1498,-117.151153,Southern,146,3,1.496,9.948,0.19,2.298,75.927,1.807,1.166,0.858,0.564,0.329,0.378,0.561,1.257,0.92
T01-B04,HES_01,1,10.6,3,lavender,lavender,pink,1,331,350,354,360,HES,19,4,289.07142857142856,71.42857142857143,217.64285714285714,11.379047619047618,7.496825396825397,17.202380952380953,47.342545,816,-116.787758,Central,127,3,0.894,8.254,0.165,2.109,86.924,1.388,1.443,0.693,0.49,0.202,0.23,0.53,0.921,0.858
T01-B08,CRE_15,3,11.6,0,NA,NA,NA,NA,352,381,381,NA,CRE,29,0,267.9047619047619,89.02380952380952,178.88095238095238,11.997619047619049,8.247619047619049,17.622619047619047,49.128793,574,-116.635332,Northern,110,2,0.502,5.384,0.217,1.805,83.977,0.897,2.331,0.429,0.506,0.2,0.202,0.241,0.675,0.782
